{'outOfRailTime': 1.0992352055639365, 'outOfRailVelocity': 22.32840826028348, 'apogeeTime': 14.088977643445952, 'apogeeAltitude': 821.292904012819, 'apogeeX': 118.27151073246459, 'apogeeY': 111.16309591960488, 'impactTime': 60.694795448118434, 'impactX': 341.6708219361888, 'impactY': 45.091876632461506, 'impactVelocity': -18.784260807327726, 'initialStaticMargin': 1.6177622956044735, 'outOfRailStaticMargin': 1.793513824216867, 'finalStaticMargin': 2.634930552842011, 'numberOfEvents': 1, 'maxVelocity': 123.08233304554474, 'drogueTriggerTime': 13.03809523809524, 'drogueInflatedTime': 14.382248116505686, 'drogueInflatedVelocity': 11.991430980850943}
{'outOfRailTime': 1.269015439322542, 'outOfRailVelocity': 20.183953448781235, 'apogeeTime': 14.483867628929064, 'apogeeAltitude': 825.5849732858112, 'apogeeX': 70.6505899110656, 'apogeeY': 85.25369476498294, 'impactTime': 64.03783126223387, 'impactX': 277.523636522141, 'impactY': -7.204318606284593, 'impactVelocity': -17.03799203823627, 'initialStaticMargin': 2.210746593714863, 'outOfRailStaticMargin': 2.378566305097108, 'finalStaticMargin': 3.2278488069160054, 'numberOfEvents': 1, 'maxVelocity': 119.51817840680258, 'drogueTriggerTime': 13.580952380952382, 'drogueInflatedTime': 15.671741790200242, 'drogueInflatedVelocity': 13.783916364671601}
{'outOfRailTime': 1.1421633347543212, 'outOfRailVelocity': 21.83819940318737, 'apogeeTime': 14.411832314086404, 'apogeeAltitude': 850.6685260185197, 'apogeeX': 132.56862169223874, 'apogeeY': 128.13916323522287, 'impactTime': 70.59374091067488, 'impactX': 391.02030674958564, 'impactY': 23.816995779651332, 'impactVelocity': -15.580393077172051, 'initialStaticMargin': 1.8692217872736054, 'outOfRailStaticMargin': 2.0429930930652653, 'finalStaticMargin': 2.9087121938808123, 'numberOfEvents': 1, 'maxVelocity': 125.034252373475, 'drogueTriggerTime': 13.476190476190478, 'drogueInflatedTime': 15.074231548134925, 'drogueInflatedVelocity': 14.426046809599148}
{'outOfRailTime': 1.4232631528067325, 'outOfRailVelocity': 18.810653586613956, 'apogeeTime': 15.068779459001119, 'apogeeAltitude': 866.8298813722197, 'apogeeX': 141.19230629937226, 'apogeeY': 140.27302914683986, 'impactTime': 63.709945911173385, 'impactX': 382.84144427357506, 'impactY': 76.98517182570423, 'impactVelocity': -18.585623826454746, 'initialStaticMargin': 2.2610504476298416, 'outOfRailStaticMargin': 2.4244666136352335, 'finalStaticMargin': 3.327165116201993, 'numberOfEvents': 1, 'maxVelocity': 121.89601399151591, 'drogueTriggerTime': 14.000000000000002, 'drogueInflatedTime': 15.964219153513831, 'drogueInflatedVelocity': 16.28348774465627}
{'outOfRailTime': 1.491050164777855, 'outOfRailVelocity': 18.108959121295733, 'apogeeTime': 15.019619290502867, 'apogeeAltitude': 839.2072962429561, 'apogeeX': 110.40195060032426, 'apogeeY': 123.86928951213108, 'impactTime': 63.89372180541658, 'impactX': 334.3302099007626, 'impactY': 51.99165604965694, 'impactVelocity': -17.610953240865467, 'initialStaticMargin': 2.247387125739169, 'outOfRailStaticMargin': 2.4203640850986408, 'finalStaticMargin': 3.3732671067943207, 'numberOfEvents': 1, 'maxVelocity': 117.82771374703583, 'drogueTriggerTime': 14.161904761904763, 'drogueInflatedTime': 16.310572146341748, 'drogueInflatedVelocity': 16.927312158246558}
{'outOfRailTime': 1.1728720263841903, 'outOfRailVelocity': 21.265525295914284, 'apogeeTime': 14.044295604720155, 'apogeeAltitude': 793.9643629698862, 'apogeeX': 93.37058337187776, 'apogeeY': 89.66179242303973, 'impactTime': 57.68617289116452, 'impactX': 289.18142564713906, 'impactY': 23.790027774337915, 'impactVelocity': -18.803010914482456, 'initialStaticMargin': 1.7395864353997272, 'outOfRailStaticMargin': 1.9109169742206742, 'finalStaticMargin': 2.7378750830227547, 'numberOfEvents': 1, 'maxVelocity': 119.1212736504247, 'drogueTriggerTime': 13.123809523809525, 'drogueInflatedTime': 15.36864547310881, 'drogueInflatedVelocity': 15.64407831308901}
{'outOfRailTime': 1.144244952983123, 'outOfRailVelocity': 21.698158741102045, 'apogeeTime': 14.164282907961358, 'apogeeAltitude': 814.5822230411138, 'apogeeX': 133.85120160850633, 'apogeeY': 127.04725600476353, 'impactTime': 65.21142668160535, 'impactX': 373.90248334845603, 'impactY': 44.93787219601106, 'impactVelocity': -16.575499990195553, 'initialStaticMargin': 1.8938097986775302, 'outOfRailStaticMargin': 2.075986058637364, 'finalStaticMargin': 2.9636241748815277, 'numberOfEvents': 1, 'maxVelocity': 121.69742319863948, 'drogueTriggerTime': 13.03809523809524, 'drogueInflatedTime': 14.837886300703657, 'drogueInflatedVelocity': 14.775795658025066}
{'outOfRailTime': 0.8144324810124783, 'outOfRailVelocity': 27.890474431559646, 'apogeeTime': 13.792406299241195, 'apogeeAltitude': 855.6200651466002, 'apogeeX': 93.78619483086749, 'apogeeY': 76.62194066266864, 'impactTime': 63.799229936771354, 'impactX': 318.6897352415744, 'impactY': -20.092626452900202, 'impactVelocity': -17.954411700853985, 'initialStaticMargin': 1.192311185021526, 'outOfRailStaticMargin': 1.3808788918620023, 'finalStaticMargin': 2.1553169805892196, 'numberOfEvents': 1, 'maxVelocity': 131.60494768147834, 'drogueTriggerTime': 12.780952380952382, 'drogueInflatedTime': 14.172175964076972, 'drogueInflatedVelocity': 9.329023366332619}
{'outOfRailTime': 1.1318172942858449, 'outOfRailVelocity': 21.886129385672955, 'apogeeTime': 14.17957307282827, 'apogeeAltitude': 822.9287982342053, 'apogeeX': 100.32837107971066, 'apogeeY': 92.09680841348928, 'impactTime': 53.79759055235088, 'impactX': 294.2144106383396, 'impactY': 53.07166271399385, 'impactVelocity': -22.613539605526213, 'initialStaticMargin': 1.8881087662068456, 'outOfRailStaticMargin': 2.063812404878271, 'finalStaticMargin': 2.913930671663315, 'numberOfEvents': 1, 'maxVelocity': 122.27232519286339, 'drogueTriggerTime': 13.142857142857144, 'drogueInflatedTime': 14.77057363955905, 'drogueInflatedVelocity': 11.329849373913278}
{'outOfRailTime': 1.0776541666194748, 'outOfRailVelocity': 22.92452897070757, 'apogeeTime': 14.834177067618064, 'apogeeAltitude': 920.9555808679343, 'apogeeX': 82.4588046718333, 'apogeeY': 97.70620915237852, 'impactTime': 69.202879002785, 'impactX': 321.75644983575336, 'impactY': -8.011053089538871, 'impactVelocity': -17.568964304509116, 'initialStaticMargin': 2.0803341917000124, 'outOfRailStaticMargin': 2.245721687798919, 'finalStaticMargin': 3.0662214455416916, 'numberOfEvents': 1, 'maxVelocity': 130.64678989127847, 'drogueTriggerTime': 13.80952380952381, 'drogueInflatedTime': 15.368593901619256, 'drogueInflatedVelocity': 10.081176504060041}
{'outOfRailTime': 1.223875733105792, 'outOfRailVelocity': 20.707621589155906, 'apogeeTime': 14.495018951571707, 'apogeeAltitude': 836.9180179458078, 'apogeeX': 131.69576962278913, 'apogeeY': 116.41606980871349, 'impactTime': 65.69084703599941, 'impactX': 374.406601200244, 'impactY': 30.40432898880077, 'impactVelocity': -17.062933325434848, 'initialStaticMargin': 1.8319146639290464, 'outOfRailStaticMargin': 1.9974407954648705, 'finalStaticMargin': 2.8349670381251983, 'numberOfEvents': 1, 'maxVelocity': 121.63458808355419, 'drogueTriggerTime': 13.590476190476192, 'drogueInflatedTime': 15.013935785057177, 'drogueInflatedVelocity': 13.491350495385896}
