{'outOfRailTime': 0.9860087130960132, 'outOfRailVelocity': 24.130979472318334, 'apogeeTime': 13.954804850679663, 'apogeeAltitude': 829.4097817112024, 'apogeeX': 96.24210853713737, 'apogeeY': 79.2790999024582, 'impactTime': 56.07047528948408, 'impactX': 313.6121387104566, 'impactY': 27.930060525888848, 'impactVelocity': -20.848143191130127, 'initialStaticMargin': 1.9716975290318104, 'outOfRailStaticMargin': 2.1518519864871473, 'finalStaticMargin': 2.9591357533675056, 'numberOfEvents': 1, 'maxVelocity': 124.96909291200113, 'drogueTriggerTime': 12.942857142857145, 'drogueInflatedTime': 14.849413100960444, 'drogueInflatedVelocity': 12.447735695756379}
{'outOfRailTime': 1.4506594888485316, 'outOfRailVelocity': 18.30208320285306, 'apogeeTime': 14.455416129523988, 'apogeeAltitude': 777.1871601440425, 'apogeeX': 94.48926045631772, 'apogeeY': 114.49576084761985, 'impactTime': 61.87934189047992, 'impactX': 327.5553265027836, 'impactY': 57.971288639816784, 'impactVelocity': -17.428027349620997, 'initialStaticMargin': 1.9465308128894108, 'outOfRailStaticMargin': 2.1179656572238117, 'finalStaticMargin': 3.01545261764644, 'numberOfEvents': 1, 'maxVelocity': 113.3797907606135, 'drogueTriggerTime': 13.39047619047619, 'drogueInflatedTime': 14.62483436993838, 'drogueInflatedVelocity': 11.203146947408845}
{'outOfRailTime': 1.1103283178232979, 'outOfRailVelocity': 22.229617669743696, 'apogeeTime': 14.304188425629162, 'apogeeAltitude': 842.6730833156325, 'apogeeX': 131.72771214058054, 'apogeeY': 123.76044703450891, 'impactTime': 57.960523949629525, 'impactX': 373.81077242900784, 'impactY': 87.74950011212572, 'impactVelocity': -20.265675160864497, 'initialStaticMargin': 1.7979087359729136, 'outOfRailStaticMargin': 1.97327445293219, 'finalStaticMargin': 2.8271040431652183, 'numberOfEvents': 1, 'maxVelocity': 124.47164713562124, 'drogueTriggerTime': 13.42857142857143, 'drogueInflatedTime': 15.401621319216234, 'drogueInflatedVelocity': 16.460865260474858}
{'outOfRailTime': 0.9678426796841642, 'outOfRailVelocity': 24.687976199059197, 'apogeeTime': 14.571160446205688, 'apogeeAltitude': 911.5843995813304, 'apogeeX': 90.41986610612312, 'apogeeY': 83.61982084544346, 'impactTime': 65.49554317495293, 'impactX': 343.43362426022264, 'impactY': -2.4702199025958267, 'impactVelocity': -18.313828781422917, 'initialStaticMargin': 2.376014996796403, 'outOfRailStaticMargin': 2.5617010630674315, 'finalStaticMargin': 3.421884152971531, 'numberOfEvents': 1, 'maxVelocity': 131.25562781330243, 'drogueTriggerTime': 13.904761904761907, 'drogueInflatedTime': 15.800719657283523, 'drogueInflatedVelocity': 14.465024595798345}
{'outOfRailTime': 0.9364354954235415, 'outOfRailVelocity': 25.29926287781927, 'apogeeTime': 14.43746875893983, 'apogeeAltitude': 906.6413329242421, 'apogeeX': 106.00549349404403, 'apogeeY': 94.09045407245083, 'impactTime': 67.53156075016851, 'impactX': 375.27030917247845, 'impactY': 4.262481166793493, 'impactVelocity': -17.52913782981575, 'initialStaticMargin': 1.9440115743956137, 'outOfRailStaticMargin': 2.124522400312898, 'finalStaticMargin': 2.950468860802104, 'numberOfEvents': 1, 'maxVelocity': 132.46647129750897, 'drogueTriggerTime': 13.561904761904763, 'drogueInflatedTime': 15.388149283032554, 'drogueInflatedVelocity': 13.32717106765946}
{'outOfRailTime': 1.122052386498765, 'outOfRailVelocity': 21.983098474758645, 'apogeeTime': 14.83417095351868, 'apogeeAltitude': 832.1888714180179, 'apogeeX': 112.64192430134794, 'apogeeY': 100.86594554005363, 'impactTime': 65.84301595356283, 'impactX': 370.1725735246116, 'impactY': 18.39095868195095, 'impactVelocity': -17.281441274670478, 'initialStaticMargin': 1.9997193422753996, 'outOfRailStaticMargin': 2.182827218316441, 'finalStaticMargin': 3.065597707318402, 'numberOfEvents': 1, 'maxVelocity': 122.25716049455355, 'drogueTriggerTime': 13.304761904761905, 'drogueInflatedTime': 13.911907649692566, 'drogueInflatedVelocity': 11.189225333167553}
{'outOfRailTime': 0.6619372837414149, 'outOfRailVelocity': 32.73187395717256, 'apogeeTime': 13.963294805909172, 'apogeeAltitude': 914.4238850607858, 'apogeeX': 116.63082861743456, 'apogeeY': 87.80072380785616, 'impactTime': 65.43565735677116, 'impactX': 386.96924213850656, 'impactY': 2.8394555437719604, 'impactVelocity': -18.519877779783343, 'initialStaticMargin': 2.0937690093600816, 'outOfRailStaticMargin': 2.306499045533636, 'finalStaticMargin': 3.0770516857744035, 'numberOfEvents': 1, 'maxVelocity': 138.84138208181673, 'drogueTriggerTime': 13.161904761904763, 'drogueInflatedTime': 14.543349600575947, 'drogueInflatedVelocity': 11.534721302417436}
{'outOfRailTime': 0.908960170627804, 'outOfRailVelocity': 25.524681534350666, 'apogeeTime': 13.814823150485061, 'apogeeAltitude': 823.2010409757052, 'apogeeX': 140.982582443432, 'apogeeY': 125.67832380040582, 'impactTime': 58.4716144983537, 'impactX': 392.3693996008242, 'impactY': 87.34576430127244, 'impactVelocity': -19.750081777088436, 'initialStaticMargin': 2.0672945752611827, 'outOfRailStaticMargin': 2.267857357762936, 'finalStaticMargin': 3.1190601268606115, 'numberOfEvents': 1, 'maxVelocity': 125.25030138548163, 'drogueTriggerTime': 12.942857142857145, 'drogueInflatedTime': 14.22714954057734, 'drogueInflatedVelocity': 14.234199355463078}
{'outOfRailTime': 1.1788897413270514, 'outOfRailVelocity': 21.179145027003088, 'apogeeTime': 14.091843741464999, 'apogeeAltitude': 797.6485788577447, 'apogeeX': 96.13606292013041, 'apogeeY': 111.76681067104298, 'impactTime': 62.45938824762984, 'impactX': 335.8834513688036, 'impactY': 50.28804762879992, 'impactVelocity': -17.54813573487041, 'initialStaticMargin': 1.8710246517232914, 'outOfRailStaticMargin': 2.043612634461502, 'finalStaticMargin': 2.879158947318198, 'numberOfEvents': 1, 'maxVelocity': 119.18410139294382, 'drogueTriggerTime': 13.104761904761906, 'drogueInflatedTime': 14.189089571953986, 'drogueInflatedVelocity': 10.880877330628845}
{'outOfRailTime': 0.9894759720934564, 'outOfRailVelocity': 24.14329936200306, 'apogeeTime': 14.01286466977061, 'apogeeAltitude': 839.3600923704287, 'apogeeX': 125.33968111981555, 'apogeeY': 102.5266623034226, 'impactTime': 64.41502606421278, 'impactX': 384.538643132253, 'impactY': 24.739193436326, 'impactVelocity': -16.75683967160204, 'initialStaticMargin': 1.3592887789907449, 'outOfRailStaticMargin': 1.5428400576122854, 'finalStaticMargin': 2.3905554516195435, 'numberOfEvents': 1, 'maxVelocity': 127.06487120220652, 'drogueTriggerTime': 13.009523809523811, 'drogueInflatedTime': 15.778544149835334, 'drogueInflatedVelocity': 19.961877233112915}
{'outOfRailTime': 1.289984767320506, 'outOfRailVelocity': 19.813527586818054, 'apogeeTime': 14.251397023861186, 'apogeeAltitude': 785.5523118664798, 'apogeeX': 104.08190113244207, 'apogeeY': 121.19202580591924, 'impactTime': 58.93827447311133, 'impactX': 328.8023953174783, 'impactY': 77.63075258287671, 'impactVelocity': -18.01019482072592, 'initialStaticMargin': 2.358991022690435, 'outOfRailStaticMargin': 2.5484480408720707, 'finalStaticMargin': 3.4956048346281716, 'numberOfEvents': 1, 'maxVelocity': 115.74155387644647, 'drogueTriggerTime': 13.39047619047619, 'drogueInflatedTime': 15.790191935460644, 'drogueInflatedVelocity': 18.626982949670563}
