{'outOfRailTime': 1.0582556068914462, 'outOfRailVelocity': 23.132731508911892, 'apogeeTime': 14.469191917593998, 'apogeeAltitude': 880.7403514845951, 'apogeeX': 108.77301761595, 'apogeeY': 112.86044297035856, 'impactTime': 62.983915029741176, 'impactX': 407.3657159596468, 'impactY': -9.451342939821545, 'impactVelocity': -18.628736457383233, 'initialStaticMargin': 1.5963706232424455, 'outOfRailStaticMargin': 1.7689178494807716, 'finalStaticMargin': 2.6090468351558616, 'numberOfEvents': 1, 'maxVelocity': 128.725655726759, 'drogueTriggerTime': 13.580952380952382, 'drogueInflatedTime': 15.854650552195878, 'drogueInflatedVelocity': 16.91943715924136}
{'outOfRailTime': 1.5717876521524599, 'outOfRailVelocity': 17.43037400223353, 'apogeeTime': 14.842902507642595, 'apogeeAltitude': 798.4818225411659, 'apogeeX': 110.00682794446914, 'apogeeY': 147.5327189997476, 'impactTime': 63.135623342204575, 'impactX': 402.15713096261214, 'impactY': 40.49725549286033, 'impactVelocity': -17.408349675652925, 'initialStaticMargin': 2.2659749512401857, 'outOfRailStaticMargin': 2.42650922765949, 'finalStaticMargin': 3.304748429963115, 'numberOfEvents': 1, 'maxVelocity': 114.1540248783774, 'drogueTriggerTime': 13.980952380952383, 'drogueInflatedTime': 15.377744438401344, 'drogueInflatedVelocity': 14.385175614840524}
{'outOfRailTime': 0.7029236618293022, 'outOfRailVelocity': 30.971340768198605, 'apogeeTime': 13.620823452153603, 'apogeeAltitude': 844.8519523022069, 'apogeeX': 130.23887042210018, 'apogeeY': 98.08052421336015, 'impactTime': 65.58754113732222, 'impactX': 454.37180966645235, 'impactY': -49.58354067337596, 'impactVelocity': -16.84603235272273, 'initialStaticMargin': 1.790232014322719, 'outOfRailStaticMargin': 2.004452434109193, 'finalStaticMargin': 2.7722619596736613, 'numberOfEvents': 1, 'maxVelocity': 130.48822771822498, 'drogueTriggerTime': 12.676190476190477, 'drogueInflatedTime': 14.295137946576517, 'drogueInflatedVelocity': 13.369011975777404}
{'outOfRailTime': 0.813160331794398, 'outOfRailVelocity': 27.83516835221342, 'apogeeTime': 13.920370118261962, 'apogeeAltitude': 858.9609759112252, 'apogeeX': 140.2702733899404, 'apogeeY': 121.83220079782444, 'impactTime': 63.17405836565521, 'impactX': 457.62312312109447, 'impactY': 0.060458943491994155, 'impactVelocity': -18.22838151552349, 'initialStaticMargin': 2.405162231535832, 'outOfRailStaticMargin': 2.604590800376239, 'finalStaticMargin': 3.403693815854684, 'numberOfEvents': 1, 'maxVelocity': 129.79186030766297, 'drogueTriggerTime': 13.02857142857143, 'drogueInflatedTime': 14.645043067310556, 'drogueInflatedVelocity': 14.881167627223025}
{'outOfRailTime': 0.9947033628750036, 'outOfRailVelocity': 23.930269727734686, 'apogeeTime': 14.030988402427935, 'apogeeAltitude': 833.2686895965242, 'apogeeX': 68.64516861778161, 'apogeeY': 78.06993309450593, 'impactTime': 66.00944699774122, 'impactX': 362.8370557309669, 'impactY': -78.13564270589538, 'impactVelocity': -16.325961643954216, 'initialStaticMargin': 2.2310902422117866, 'outOfRailStaticMargin': 2.422943092031544, 'finalStaticMargin': 3.284411594309821, 'numberOfEvents': 1, 'maxVelocity': 124.1637651246968, 'drogueTriggerTime': 13.161904761904763, 'drogueInflatedTime': 15.217571667585197, 'drogueInflatedVelocity': 13.535706886581032}
{'outOfRailTime': 1.1279242543634096, 'outOfRailVelocity': 22.005004002471523, 'apogeeTime': 14.357256705924357, 'apogeeAltitude': 845.1844551204942, 'apogeeX': 98.06937539547984, 'apogeeY': 112.43392422913551, 'impactTime': 65.18265128290507, 'impactX': 402.21970323206585, 'impactY': -22.46658076879031, 'impactVelocity': -17.345159931011988, 'initialStaticMargin': 1.9075783240030257, 'outOfRailStaticMargin': 2.0711003411008124, 'finalStaticMargin': 2.8692630156189662, 'numberOfEvents': 1, 'maxVelocity': 124.2286807701011, 'drogueTriggerTime': 13.238095238095239, 'drogueInflatedTime': 14.940782095730615, 'drogueInflatedVelocity': 11.954581996581163}
{'outOfRailTime': 1.0014726319876823, 'outOfRailVelocity': 23.96800493961797, 'apogeeTime': 14.136644443186384, 'apogeeAltitude': 852.5811473742515, 'apogeeX': 87.39090216386177, 'apogeeY': 91.77527108081557, 'impactTime': 62.46205598229795, 'impactX': 374.6710106625421, 'impactY': -37.6721429872346, 'impactVelocity': -18.518261588401916, 'initialStaticMargin': 1.353654706821091, 'outOfRailStaticMargin': 1.53314924196108, 'finalStaticMargin': 2.370562512047156, 'numberOfEvents': 1, 'maxVelocity': 127.60019128334572, 'drogueTriggerTime': 13.200000000000001, 'drogueInflatedTime': 14.717970939056482, 'drogueInflatedVelocity': 10.555087900551593}
{'outOfRailTime': 1.1000500788549545, 'outOfRailVelocity': 22.28532737604968, 'apogeeTime': 14.245301714363254, 'apogeeAltitude': 832.269689206327, 'apogeeX': 114.24242654763123, 'apogeeY': 120.13713699732911, 'impactTime': 61.44394178007257, 'impactX': 403.61975007269325, 'impactY': 9.003138618560618, 'impactVelocity': -17.94125048848182, 'initialStaticMargin': 2.0172772251970543, 'outOfRailStaticMargin': 2.210760588268501, 'finalStaticMargin': 3.138093642161542, 'numberOfEvents': 1, 'maxVelocity': 122.71183229405057, 'drogueTriggerTime': 13.352380952380953, 'drogueInflatedTime': 15.936954226887284, 'drogueInflatedVelocity': 19.74240390220323}
{'outOfRailTime': 1.0959557036747303, 'outOfRailVelocity': 22.248145706219994, 'apogeeTime': 14.127903774315142, 'apogeeAltitude': 814.6214512350136, 'apogeeX': 108.72019393902718, 'apogeeY': 116.47338433290747, 'impactTime': 63.41423942909892, 'impactX': 407.8872351437618, 'impactY': -7.7762005225552135, 'impactVelocity': -17.433847377667412, 'initialStaticMargin': 2.2013197851603175, 'outOfRailStaticMargin': 2.3988717588856754, 'finalStaticMargin': 3.323847472768525, 'numberOfEvents': 1, 'maxVelocity': 120.53054913218494, 'drogueTriggerTime': 13.266666666666667, 'drogueInflatedTime': 14.470749999981017, 'drogueInflatedVelocity': 12.081805766934774}
{'outOfRailTime': 1.0431150866399677, 'outOfRailVelocity': 23.198821556708825, 'apogeeTime': 13.977171063046319, 'apogeeAltitude': 820.6365686943102, 'apogeeX': 98.49806220729539, 'apogeeY': 100.27625777104853, 'impactTime': 65.80817933948943, 'impactX': 403.88517835267805, 'impactY': -47.03229952410107, 'impactVelocity': -16.152399598531325, 'initialStaticMargin': 1.3448872623077357, 'outOfRailStaticMargin': 1.5255949861623503, 'finalStaticMargin': 2.373802465874632, 'numberOfEvents': 1, 'maxVelocity': 124.36841961772289, 'drogueTriggerTime': 13.133333333333335, 'drogueInflatedTime': 15.139413426422315, 'drogueInflatedVelocity': 14.887920231182497}
{'outOfRailTime': 1.183849041874123, 'outOfRailVelocity': 21.043780721427435, 'apogeeTime': 13.954265643024055, 'apogeeAltitude': 778.877579074079, 'apogeeX': 89.52147988760458, 'apogeeY': 103.61497741234409, 'impactTime': 61.05542369955685, 'impactX': 363.84068948810335, 'impactY': -15.77409361419619, 'impactVelocity': -17.179433175398696, 'initialStaticMargin': 1.6781881642621337, 'outOfRailStaticMargin': 1.8612609537613825, 'finalStaticMargin': 2.7403039448103335, 'numberOfEvents': 1, 'maxVelocity': 117.234644264209, 'drogueTriggerTime': 13.104761904761906, 'drogueInflatedTime': 14.83290449086475, 'drogueInflatedVelocity': 13.087136018696564}
{'outOfRailTime': 0.9388878385661, 'outOfRailVelocity': 25.18665754995618, 'apogeeTime': 14.255994317830082, 'apogeeAltitude': 880.0626126519746, 'apogeeX': 119.53057769789147, 'apogeeY': 109.27252282940478, 'impactTime': 58.64638127693804, 'impactX': 409.05901355310414, 'impactY': 17.816218241269343, 'impactVelocity': -21.73668784725031, 'initialStaticMargin': 1.9173288293701307, 'outOfRailStaticMargin': 2.0859338250815282, 'finalStaticMargin': 2.8408492931815608, 'numberOfEvents': 1, 'maxVelocity': 130.24787783987367, 'drogueTriggerTime': 13.323809523809524, 'drogueInflatedTime': 14.269110171575068, 'drogueInflatedVelocity': 11.392389763592211}
{'outOfRailTime': 0.8770792088821688, 'outOfRailVelocity': 26.429397577626627, 'apogeeTime': 14.202109840749161, 'apogeeAltitude': 889.6053679398644, 'apogeeX': 122.63178074677121, 'apogeeY': 99.41661380773947, 'impactTime': 63.12726574693063, 'impactX': 431.8574825442128, 'impactY': -30.598694590014695, 'impactVelocity': -18.817917165142976, 'initialStaticMargin': 1.8039159841466275, 'outOfRailStaticMargin': 2.004786599081109, 'finalStaticMargin': 2.880149885935367, 'numberOfEvents': 1, 'maxVelocity': 131.84408571949479, 'drogueTriggerTime': 13.304761904761905, 'drogueInflatedTime': 15.260189825439147, 'drogueInflatedVelocity': 14.883737429896549}
{'outOfRailTime': 0.807304254491373, 'outOfRailVelocity': 28.004847925324263, 'apogeeTime': 13.885028189047198, 'apogeeAltitude': 863.5983821473253, 'apogeeX': 91.59502954085653, 'apogeeY': 82.07513393879594, 'impactTime': 64.97161064393995, 'impactX': 396.855880046318, 'impactY': -65.40980976325777, 'impactVelocity': -17.75793396106743, 'initialStaticMargin': 1.9933889308814559, 'outOfRailStaticMargin': 2.215248119407336, 'finalStaticMargin': 3.1184177844084653, 'numberOfEvents': 1, 'maxVelocity': 130.8080806391134, 'drogueTriggerTime': 12.923809523809526, 'drogueInflatedTime': 14.192511741647854, 'drogueInflatedVelocity': 9.278318357631463}
{'outOfRailTime': 0.9347681860471396, 'outOfRailVelocity': 25.246470859252582, 'apogeeTime': 14.304097860119027, 'apogeeAltitude': 884.0110297951558, 'apogeeX': 141.25007794225962, 'apogeeY': 121.36199010104836, 'impactTime': 64.91666948101013, 'impactX': 468.6978910789584, 'impactY': -7.483363332183695, 'impactVelocity': -18.3591984445763, 'initialStaticMargin': 2.110285562700035, 'outOfRailStaticMargin': 2.285266470466234, 'finalStaticMargin': 3.066455163732402, 'numberOfEvents': 1, 'maxVelocity': 130.23350261644924, 'drogueTriggerTime': 13.4, 'drogueInflatedTime': 14.774378657240018, 'drogueInflatedVelocity': 13.777229656327187}
